siteid,sitename,plotid,easting,northing,taxonid,scientificname,stemheight
SOAP,Soaproot Saddle,SOAP555,297116.3,4100912.8,ARVI4,Arctostaphylos viscida,0.8
SOAP,Soaproot Saddle,SOAP255,300146,4101370,ARVI4,Arctostaphylos viscida,1.7
SOAP,Soaproot Saddle,SOAP1343,299587.7,4100962.5,ARVI4,Arctostaphylos viscida,2.4
SOAP,Soaproot Saddle,SOAP1515,297510.3,4101248,ARVI4,Arctostaphylos viscida,1.4
SOAP,Soaproot Saddle,SOAP1611,297435,4100569.8,ARVI4,Arctostaphylos viscida,4.2
SOAP,Soaproot Saddle,SOAP223,299296.3,4101479,ARVI4,Arctostaphylos viscida,1.3
SOAP,Soaproot Saddle,SOAP255,300151.1,4101384.5,ARVI4,Arctostaphylos viscida,0.6
SOAP,Soaproot Saddle,SOAP143,299849.3,4100426.5,ARVI4,Arctostaphylos viscida,1.7
SOAP,Soaproot Saddle,SOAP63,299804.9,4101032,ARVI4,Arctostaphylos viscida,2.8
SOAP,Soaproot Saddle,SOAP1695,299179.6,4100955.8,ARVI4,Arctostaphylos viscida,1.6
SOAP,Soaproot Saddle,SOAP331,297061.3,4100591.8,CADE27,Calocedrus decurrens,1.2
SOAP,Soaproot Saddle,SOAP331,297061.2,4100591.5,CADE27,Calocedrus decurrens,8.3
SOAP,Soaproot Saddle,SOAP331,297062.5,4100590.8,CADE27,Calocedrus decurrens,6
SOAP,Soaproot Saddle,SOAP331,297064.5,4100589.8,CADE27,Calocedrus decurrens,8.4
SOAP,Soaproot Saddle,SOAP331,297063.8,4100591,CADE27,Calocedrus decurrens,1.2
SOAP,Soaproot Saddle,SOAP139,297041.6,4100096.2,CADE27,Calocedrus decurrens,0.5
SOAP,Soaproot Saddle,SOAP331,297064.5,4100592.5,CADE27,Calocedrus decurrens,5.4
SOAP,Soaproot Saddle,SOAP331,297063.7,4100593.2,CADE27,Calocedrus decurrens,8.3
SOAP,Soaproot Saddle,SOAP95,298709.1,4100852.5,CADE27,Calocedrus decurrens,7.1
SOAP,Soaproot Saddle,SOAP331,297063.5,4100595,CADE27,Calocedrus decurrens,8.6
SOAP,Soaproot Saddle,SOAP187,297533,4100555,CADE27,Calocedrus decurrens,1.3
SOAP,Soaproot Saddle,SOAP331,297064.4,4100597.2,CADE27,Calocedrus decurrens,2
SOAP,Soaproot Saddle,SOAP1343,299602.4,4100981.5,CADE27,Calocedrus decurrens,0.7
SOAP,Soaproot Saddle,SOAP331,297061.5,4100598,CADE27,Calocedrus decurrens,2
SOAP,Soaproot Saddle,SOAP331,297059.2,4100597.5,CADE27,Calocedrus decurrens,7.7
SOAP,Soaproot Saddle,SOAP331,297058.8,4100598.5,CADE27,Calocedrus decurrens,2
SOAP,Soaproot Saddle,SOAP331,297058.5,4100598.5,CADE27,Calocedrus decurrens,11.4
SOAP,Soaproot Saddle,SOAP95,298705.9,4100854,CADE27,Calocedrus decurrens,2.7
SOAP,Soaproot Saddle,SOAP331,297058.1,4100597.5,CADE27,Calocedrus decurrens,9
SOAP,Soaproot Saddle,SOAP331,297058.1,4100597.2,CADE27,Calocedrus decurrens,2.8
SOAP,Soaproot Saddle,SOAP331,297057.8,4100596.2,CADE27,Calocedrus decurrens,11.1
SOAP,Soaproot Saddle,SOAP331,297057.1,4100594,CADE27,Calocedrus decurrens,5.4
SOAP,Soaproot Saddle,SOAP139,297043,4100091.2,CADE27,Calocedrus decurrens,0.6
SOAP,Soaproot Saddle,SOAP331,297059.9,4100595.5,CADE27,Calocedrus decurrens,0.7
SOAP,Soaproot Saddle,SOAP139,297034.1,4100089.8,CADE27,Calocedrus decurrens,2.4
SOAP,Soaproot Saddle,SOAP139,297034,4100089.5,CADE27,Calocedrus decurrens,5.2
SOAP,Soaproot Saddle,SOAP331,297054.9,4100599,CADE27,Calocedrus decurrens,3.3
SOAP,Soaproot Saddle,SOAP331,297055.4,4100600.5,CADE27,Calocedrus decurrens,7.2
SOAP,Soaproot Saddle,SOAP331,297055.8,4100600,CADE27,Calocedrus decurrens,9.1
SOAP,Soaproot Saddle,SOAP95,298701.9,4100853,CADE27,Calocedrus decurrens,2.9
SOAP,Soaproot Saddle,SOAP95,298702.1,4100854,CADE27,Calocedrus decurrens,1.4
SOAP,Soaproot Saddle,SOAP143,299836.3,4100413,CADE27,Calocedrus decurrens,19.7
SOAP,Soaproot Saddle,SOAP139,297039.7,4100086.8,CADE27,Calocedrus decurrens,11.3
SOAP,Soaproot Saddle,SOAP43,297068.4,4100716,CADE27,Calocedrus decurrens,2.9
SOAP,Soaproot Saddle,SOAP331,297057.7,4100602.8,CADE27,Calocedrus decurrens,1.4
SOAP,Soaproot Saddle,SOAP139,297054.9,4100083,CADE27,Calocedrus decurrens,120
SOAP,Soaproot Saddle,SOAP331,297059.5,4100602.5,CADE27,Calocedrus decurrens,0.7
SOAP,Soaproot Saddle,SOAP139,297055.5,4100083.5,CADE27,Calocedrus decurrens,3.3
SOAP,Soaproot Saddle,SOAP139,297055,4100083.8,CADE27,Calocedrus decurrens,2.7
SOAP,Soaproot Saddle,SOAP139,297054.4,4100084.2,CADE27,Calocedrus decurrens,1.8
SOAP,Soaproot Saddle,SOAP139,297055.3,4100084.5,CADE27,Calocedrus decurrens,2.4
SOAP,Soaproot Saddle,SOAP139,297054.8,4100084.5,CADE27,Calocedrus decurrens,2
SOAP,Soaproot Saddle,SOAP331,297060.6,4100603,CADE27,Calocedrus decurrens,1.4
SOAP,Soaproot Saddle,SOAP95,298693.8,4100857.8,CADE27,Calocedrus decurrens,0.9
SOAP,Soaproot Saddle,SOAP331,297062.3,4100603.5,CADE27,Calocedrus decurrens,1.6
SOAP,Soaproot Saddle,SOAP95,298693.5,4100858.2,CADE27,Calocedrus decurrens,0.8
SOAP,Soaproot Saddle,SOAP95,298693.3,4100858.8,CADE27,Calocedrus decurrens,0.8
SOAP,Soaproot Saddle,SOAP331,297063.5,4100602.5,CADE27,Calocedrus decurrens,7
SOAP,Soaproot Saddle,SOAP331,297063.8,4100602.8,CADE27,Calocedrus decurrens,0.9
SOAP,Soaproot Saddle,SOAP139,297058.8,4100088.5,CADE27,Calocedrus decurrens,1.5
SOAP,Soaproot Saddle,SOAP139,297059.2,4100089,CADE27,Calocedrus decurrens,2.1
SOAP,Soaproot Saddle,SOAP139,297059.2,4100089.5,CADE27,Calocedrus decurrens,2.7
SOAP,Soaproot Saddle,SOAP331,297061.8,4100601.2,CADE27,Calocedrus decurrens,1.7
SOAP,Soaproot Saddle,SOAP187,297529.2,4100554.2,CADE27,Calocedrus decurrens,1
SOAP,Soaproot Saddle,SOAP139,297058,4100091,CADE27,Calocedrus decurrens,3.1
SOAP,Soaproot Saddle,SOAP139,297056.3,4100091.5,CADE27,Calocedrus decurrens,2
SOAP,Soaproot Saddle,SOAP139,297059.4,4100091.5,CADE27,Calocedrus decurrens,3.7
SOAP,Soaproot Saddle,SOAP187,297529.3,4100551.5,CADE27,Calocedrus decurrens,2.1
SOAP,Soaproot Saddle,SOAP187,297530.7,4100551.2,CADE27,Calocedrus decurrens,1.3
SOAP,Soaproot Saddle,SOAP139,297055.1,4100090.5,CADE27,Calocedrus decurrens,2.3
SOAP,Soaproot Saddle,SOAP139,297059.9,4100093.2,CADE27,Calocedrus decurrens,1.2
SOAP,Soaproot Saddle,SOAP139,297059.6,4100093.8,CADE27,Calocedrus decurrens,1
SOAP,Soaproot Saddle,SOAP139,297060.2,4100094.2,CADE27,Calocedrus decurrens,1
SOAP,Soaproot Saddle,SOAP139,297058.4,4100094.2,CADE27,Calocedrus decurrens,2.8
SOAP,Soaproot Saddle,SOAP139,297058.9,4100093,CADE27,Calocedrus decurrens,3.9
SOAP,Soaproot Saddle,SOAP139,297056.7,4100093,CADE27,Calocedrus decurrens,5
SOAP,Soaproot Saddle,SOAP187,297525.3,4100542.5,CADE27,Calocedrus decurrens,1.7
SOAP,Soaproot Saddle,SOAP187,297527.8,4100559,CADE27,Calocedrus decurrens,1.3
SOAP,Soaproot Saddle,SOAP187,297526.5,4100541.5,CADE27,Calocedrus decurrens,1.3
SOAP,Soaproot Saddle,SOAP187,297526.5,4100543.5,CADE27,Calocedrus decurrens,1.9
