slug,tag_name,start_date,attendance,host_name,country,latitude,longitude,url
2014-02-28-ethz,SWC,2014-02-28,27,Swiss Federal Institute of Technology Zurich,CH,47.4103,8.508272,https://swcarpentry.github.io/2014-02-28-ethz/
2014-03-10-uva,SWC,2014-03-10,37,University of Virginia,US,38.033553,-78.507977,https://synesthesiam.github.io/2014-03-10-uva/
2014-03-17-nyu,SWC,2014-03-17,70,New York University,US,40.729513,-73.996461,https://swcarpentry.github.io/2014-03-17-nyu/
2014-03-17-purdue,SWC,2014-03-17,25,Purdue University,US,40.423784,-86.909696,https://swcarpentry.github.io/2014-03-17-purdue/
2014-03-17-ucb,SWC,2014-03-17,74,University of California Berkeley,US,37.873913,-122.250563,https://swcarpentry.github.io/2014-03-17-ucb/
2014-03-17-uw,SWC,2014-03-17,74,University of Washington,US,47.655335,-122.303519,https://ljwilliams.github.io/2014-03-17-uw/
2014-03-18-combine,SWC,2014-03-18,42,University of Melbourne,AU,-37.7963,144.9614,https://resbaz.github.io/2014-03-18-combine/
2014-04-02-uvic,SWC,2014-04-02,26,University of Victoria,CA,48.461821,-123.310443,https://swcarpentry.github.io/2014-04-02-uvic/
2014-04-03-sdu,SWC,2014-04-03,20,University of Southern Denmark,DK,55.368735,10.426408,https://luispedro.github.io/2014-04-03-sdu/
2014-04-04-ou,SWC,2014-04-04,39,University of Oklahoma,US,35.183121,-97.441238,https://jduckles.github.io/2014-04-04-ou/
2014-04-09-GARNET,SWC,2014-04-09,28,University of Warwick,GB,52.3802961,-1.563937,https://apawlik.github.io/2014-04-09-GARNET/
2014-04-09-ucar,SWC,2014-04-09,12,University Corporation for Atmospheric Research,US,40.031528,-105.245847,https://emhart.github.io/2014-04-09-ucar/
2014-04-14-pycon,SWC,2014-04-14,40,PyCon,CA,45.530677,-73.624497,https://swcarpentry.github.io/2014-04-14-pycon/
2014-04-14-pycon-lib,SWC,2014-04-14,41,PyCon,CA,45.530677,-73.624497,https://dhavide.github.io/2014-04-14-pycon-lib/
2014-04-14-pycon-ngs,SWC,2014-04-14,39,PyCon,CA,45.530677,-73.624497,https://swcarpentry.github.io/2014-04-14-pycon-ngs/
2014-04-14-pycon-r,SWC,2014-04-14,40,PyCon,CA,45.530677,-73.624497,https://swcarpentry.github.io/2014-04-14-pycon-r/
2014-04-14-ttt-pycon,"TTT,online",2014-04-14,34,Software Carpentry,W3,-48.876667,-123.393333,
2014-04-14-wise,"WiSE,SWC",2014-04-14,130,Software Carpentry,US,37.8734481,-122.2563972,https://swcarpentry.github.io/2014-04-14-wise/
2014-04-23-uib,SWC,2014-04-23,25,University of Bergen,NO,60.3812811,5.3291539,https://elixirno.github.io/2014-04-23-uib/
2014-04-24-ttt-online,"TTT,online",2014-04-24,58,Software Carpentry,W3,-48.876667,-123.393333,
2014-04-28-ttt-mozilla,TTT,2014-04-28,43,Software Carpentry,CA,43.64711,-79.39423,http://swcarpentry.github.io/2014-04-28-training/
2014-04-29-gwu,SWC,2014-04-29,23,George Washington University,US,39.059322,-77.445661,https://jrherr.github.io/2014-04-29-gwu/
2014-05-05-mcmaster,SWC,2014-05-05,30,McMaster University,CA,43.2627392,-79.9175982,https://gdevenyi.github.io/2014-05-05-mcmaster/
2014-05-08-datacarpentry,SWC,2014-05-08,30,NESCENT,US,37.876889,-122.246693,http://cannot.find.url/2014-05-08-datacarpentry/
2014-05-08-soton,SWC,2014-05-08,39,University of Southampton,GB,50.893131,-1.39494,https://DevasenaInupakutika.github.io/2014-05-08-soton/
2014-05-12-cshl,SWC,2014-05-12,36,Cold Spring Harbor Laboratory,US,40.859197,-73.468704,https://wltrimbl.github.io/2014-05-12-cshl/
2014-05-12-furg,SWC,2014-05-12,30,Universidade Federal do Rio Grande,BR,-32.06811,-52.16238,https://r-gaia-cs.github.io/2014-05-12-furg/
2014-05-12-oicr-toronto,SWC,2014-05-12,15,Mozilla Foundation,CA,43.64711,-79.39423,https://swcarpentry.github.io/2014-05-12-oicr-toronto/
2014-05-12-ubc,SWC,2014-05-12,16,University of British Columbia,CA,49.26508,-123.25378,https://jennybc.github.io/2014-05-12-ubc/
2014-05-19-scilifelab,SWC,2014-05-19,54,"Science Life Lab, Stockholm",SE,59.329323,18.068581,https://gvwilson.github.io/2014-05-19-scilifelab/
2014-05-19-ucl,SWC,2014-05-19,12,University College London,GB,51.524559,-0.13404,http://cannot.find.url/2014-05-19-ucl/
