slug,tag_name,start_date,attendance,host_name,country,latitude,longitude
2017-11-07-mizzou,SWC,2017-11-07,15,University of Missouri,US,38.93926,-92.321738
2017-11-08-lugano,DC,2017-11-08,9,University of Zurich,CH,46.002701,8.946719
2017-11-08-southampton-swc,SWC,2017-11-08,17,SSI Software Sustainability Institute,GB,51.074874,-0.832234
2017-11-09-sfn,SWC,2017-11-09,26,Society for Neuroscience,US,,
2017-11-09-uclhep,SWC,2017-11-09,14,University College London,GB,51.525334,-0.133491
2017-11-11-UTA,SWC,2017-11-11,12,University of Texas Arlington,US,32.729678,-97.112926
2017-11-13-ethiopia,SWC,2017-12-12,27,Addis Ababa University,ET,9.03403,38.7662
2017-11-14-ttt-online,"TTT,online",2017-11-14,12,Software Carpentry,W3,-48.876667,-123.393333
2017-11-15-ttt-stanford,TTT,2017-11-15,15,Software Carpentry,US,37.426581,-122.167145
2017-11-15-ualberta,DC,2017-11-15,10,University of Alberta,CA,53.526003,-113.529153
2017-11-17-tufts,SWC,2017-11-17,14,Tufts University,US,42.40617,-71.118882
2017-11-20-ou,SWC,2017-11-20,20,University of Oklahoma,US,35.208275,-97.445848
2017-11-21-EI,DC,2017-11-21,15,Earlham Institute,GB,52.621793,1.219461
2017-11-23-GriffithUni-Python,SWC,2017-11-23,24,Griffith University,AU,-27.962224,153.381897
2017-11-27-USyd-Python,SWC,2017-11-27,12,University of Sydney,AU,-33.888226,151.188702
2017-11-30-MBARI,SWC,2017-11-30,44,Monterey Bay Aquarium Research Institute,US,36.802151,-121.788163
2017-11-30-NWU-IT,SWC,2017-11-30,16,North-West University,ZA,-26.679938,27.094379
2017-11-30-minnesota,SWC,2017-11-30,18,University of Minnesota,US,44.971932,-93.231381
2017-11-30-queensu,SWC,2017-11-30,25,Queen's University,CA,44.2273617,-76.4972598
2017-12-01-gwu-Python,SWC,2017-12-01,15,George Washington University,US,38.899236,-77.048354
2017-12-02-UCSF-Python,SWC,2017-12-02,24,University of California San Francisco,US,37.767411,-122.390344
2017-12-02-UCSF-R,SWC,2017-12-02,34,University of California San Francisco,US,37.767417,-122.390322
2017-12-02-mun,SWC,2017-12-02,33,Memorial University,CA,47.571306,-52.732711
2017-12-04-standrews,SWC,2017-12-04,17,University of St. Andrews,GB,56.34124,-2.809338
2017-12-04-ttt,"TTT,online",2017-12-04,8,Software Carpentry,W3,-48.876667,-123.393333
