Occupation,Country,Expertise areas,Previous Involvement,Previous Training in Teaching,Previous Experience in Teaching
undisclosed,ZA,"Education, Humanities",learner,No Training,Other:
faculty,NL,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Other:
grad,ZA,Humanities,learner,No Training,Other:
support,ZA,"Humanities, Library and information science","host, learner, organizer, contributor",No Training,Other:
postdoc,AU,"Humanities, Social sciences",helper,No Training,Other:
support,MU,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",learner,No Training,Other:
undisclosed,ZA,"Mathematics/statistics, Medicine","helper, host, learner, contributor",No Training,Other:
grad,CA,"Mathematics/statistics, Psychology/neuroscience",learner,No Training,Other:
postdoc,US,Computer science/electrical engineering,learner,No Training,Other:
support,AU,"High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Other:
postdoc,ZA,"Genetics, genomics, bioinformatics","helper, learner",No Training,Other:
grad,ZA,"Genetics, genomics, bioinformatics","helper, learner",No Training,Other:
postdoc,US,"Computer science/electrical engineering, Mathematics/statistics",Unknown,No Training,Other:
faculty,CA,"Education, Organismal biology (ecology, botany, zoology, microbiology), Social sciences",helper,No Training,Other:
support,GB,"High performance computing, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",helper,No Training,Other:
research,GB,"Computer science/electrical engineering, Library and information science",learner,No Training,Other:
support,ZA,"Computer science/electrical engineering, Education",helper,No Training,Other:
commerce,CO,"Education, High performance computing, Physics",learner,No Training,Other:
postdoc,AU,Social sciences,"helper, instructor",No Training,Other:
Unknown,AU,"Computer science/electrical engineering, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",helper,No Training,Other:
postdoc,ZA,"Chemistry, Computer science/electrical engineering, Genetics, genomics, bioinformatics, High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Other:
Unknown,US,Mathematics/statistics,learner,No Training,Other:
support,AU,Unknown,"host, learner, organizer",No Training,Other:
postdoc,AU,"Genetics, genomics, bioinformatics, High performance computing",instructor,No Training,Other:
grad,ZA,"High performance computing, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Other:
grad,US,"Genetics, genomics, bioinformatics",Unknown,No Training,Other:
research,US,High performance computing,learner,No Training,Other:
faculty,AU,"High performance computing, Planetary sciences (geology, climatology, oceanography, etc.)",helper,No Training,Other:
support,US,"Computer science/electrical engineering, Mathematics/statistics",Unknown,No Training,Other:
postdoc,US,"Chemistry, High performance computing, Mathematics/statistics, Physics",Unknown,No Training,Other:
research,US,"Chemistry, Computer science/electrical engineering, High performance computing",Unknown,No Training,Other:
research,US,Computer science/electrical engineering,"helper, host, organizer",No Training,Other:
Unknown,US,Social sciences,Unknown,No Training,Other:
librarian,CA,"Computer science/electrical engineering, Library and information science, Mathematics/statistics",learner,No Training,Other:
undisclosed,DE,Unknown,Unknown,No Training,Other:
research,US,Computer science/electrical engineering,Unknown,No Training,Other:
research,US,"Chemistry, High performance computing",Unknown,No Training,Other:
support,US,Physics,Unknown,No Training,Other:
research,US,"Computer science/electrical engineering, Education, High performance computing, Mathematics/statistics, Physics",helper,No Training,Other:
research,US,Computer science/electrical engineering,Unknown,No Training,Other:
research,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics",Unknown,No Training,Other:
Unknown,US,"Computer science/electrical engineering, High performance computing",contributor,No Training,Other:
postdoc,US,Unknown,Unknown,No Training,Other:
research,US,"Mathematics/statistics, Physics",Unknown,No Training,Other:
undisclosed,AU,"Physics, Space sciences",helper,No Training,Other:
grad,ZA,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Other:
support,GB,"Computer science/electrical engineering, Economics/business, Education",Unknown,No Training,Other:
faculty,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","host, learner, organizer",No Training,Other:
Unknown,US,Physics,Unknown,No Training,Other:
postdoc,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,No Training,Other:
commerce,US,"Computer science/electrical engineering, High performance computing",Unknown,No Training,Other:
support,ZA,Computer science/electrical engineering,Unknown,No Training,Other:
research,ET,"Education, Humanities",helper,No Training,Other:
support,US,"High performance computing, Mathematics/statistics, Physics, Space sciences",Unknown,No Training,Other:
support,US,Computer science/electrical engineering,"helper, instructor",No Training,Other:
postdoc,AU,Physics,"helper, instructor, learner, contributor",No Training,Other:
support,AU,"Computer science/electrical engineering, Library and information science","helper, learner",No Training,Other:
research,ZA,"Computer science/electrical engineering, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.)",instructor,No Training,Other:
undisclosed,PK,"Computer science/electrical engineering, Mathematics/statistics, Physics",Unknown,No Training,Other:
research,US,"Chemistry, High performance computing, Mathematics/statistics, Physics",learner,No Training,Other:
research,US,Physics,Unknown,No Training,Other:
postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Other:
support,NG,"Computer science/electrical engineering, Library and information science",Unknown,No Training,Other:
support,US,Library and information science,Unknown,No Training,Other:
grad,US,"Civil, mechanical, chemical, or nuclear engineering",learner,No Training,Other:
research,US,Physics,Unknown,No Training,Other:
librarian,AU,Library and information science,"helper, instructor, learner",No Training,Other:
postdoc,DE,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,No Training,Other:
Unknown,NO,"Civil, mechanical, chemical, or nuclear engineering","helper, learner",No Training,Other:
research,US,"Computer science/electrical engineering, High performance computing, Social sciences",Unknown,No Training,Other:
research,US,"Computer science/electrical engineering, Physics",Unknown,No Training,Other:
research,US,"Civil, mechanical, chemical, or nuclear engineering, Education, High performance computing",Unknown,No Training,Other:
grad,US,Humanities,learner,No Training,Other:
grad,US,"Physics, Space sciences","helper, learner",No Training,Other:
research,US,Physics,Unknown,No Training,Other:
grad,US,"Genetics, genomics, bioinformatics","helper, learner",No Training,Other:
postdoc,US,Mathematics/statistics,Unknown,No Training,Other:
grad,US,"Genetics, genomics, bioinformatics",learner,No Training,Other:
grad,US,"Chemistry, High performance computing","helper, learner",No Training,Other:
librarian,AU,Library and information science,"helper, learner, contributor",No Training,Other:
faculty,US,"Education, Mathematics/statistics",Unknown,No Training,Other:
grad,GB,"Physics, Planetary sciences (geology, climatology, oceanography, etc.)",learner,No Training,Other:
faculty,BW,"Computer science/electrical engineering, High performance computing",Unknown,No Training,Other:
librarian,US,"Chemistry, Library and information science, Medicine, Organismal biology (ecology, botany, zoology, microbiology), Physics, Social sciences",Unknown,No Training,Other:
librarian,US,Library and information science,Unknown,No Training,Other:
research,US,"Computer science/electrical engineering, High performance computing",helper,No Training,Other:
support,US,"Computer science/electrical engineering, Library and information science","helper, learner",No Training,Other:
librarian,US,"Computer science/electrical engineering, Library and information science",Unknown,No Training,Other:
grad,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",helper,No Training,Other:
grad,US,"Computer science/electrical engineering, High performance computing, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology), Physics",learner,No Training,Other:
librarian,ZA,"Humanities, Library and information science",Unknown,No Training,Other:
support,US,Unknown,helper,No Training,Other:
research,US,Computer science/electrical engineering,Unknown,No Training,Other:
Unknown,US,"Genetics, genomics, bioinformatics, Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Other:
librarian,US,"Humanities, Library and information science",Unknown,No Training,Other:
research,US,"Genetics, genomics, bioinformatics",learner,No Training,Other:
research,US,"High performance computing, Physics",helper,No Training,Other:
postdoc,GB,"Chemistry, Computer science/electrical engineering, Psychology/neuroscience",Unknown,No Training,Other:
support,US,"Mathematics/statistics, Physics, Psychology/neuroscience",Unknown,No Training,Other:
Unknown,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,No Training,Other:
commerce,US,"Computer science/electrical engineering, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.), Social sciences, Space sciences","helper, learner",No Training,Other:
